table,attribute,model,complete_ids,analysis_rows,valid_bootstrap_replicates_min,dp_difference,dp_difference_ci_low,dp_difference_ci_high,dp_difference_formatted,dp_ratio,dp_ratio_ci_low,dp_ratio_ci_high,dp_ratio_formatted,eo_difference,eo_difference_ci_low,eo_difference_ci_high,eo_difference_formatted,eo_ratio,eo_ratio_ci_low,eo_ratio_ci_high,eo_ratio_formatted
Table 3,gender,BioMistral,676,1352,5000,0.0,0.0,0.008875739644970349,"0.000 [0.000, 0.009]",1.0,0.9849614614425513,1.0,"1.000 [0.985, 1.000]",0.007910661238860084,0.0004056647560964244,0.022702965305859666,"0.008 [0.000, 0.023]",0.9913649192337718,0.9752204936587233,0.9995579086639395,"0.991 [0.975, 1.000]"
Table 3,gender,Gemma,676,1352,5000,0.004437869822485174,0.0,0.013313609467455523,"0.004 [0.000, 0.013]",0.9923469387755103,0.9782608695652175,1.0,"0.992 [0.978, 1.000]",0.0009428667639466148,0.0004000224314107237,0.01789580163402433,"0.001 [0.000, 0.018]",0.9990181180596143,0.9814931828907586,0.999582106347238,"0.999 [0.981, 1.000]"
Table 3,gender,LLaMA 3,683,1366,5000,0.0014641288433382416,0.0,0.008784773060029283,"0.001 [0.000, 0.009]",0.9961240310077518,0.976,1.0,"0.996 [0.976, 1.000]",0.0052899643692482234,0.00033661786582983854,0.025730884798997145,"0.005 [0.000, 0.026]",0.9934095860566449,0.9683005887962809,0.9995718026252922,"0.993 [0.968, 1.000]"
Table 3,gender,Meditron,682,1364,5000,0.038123167155425186,0.024926686217008776,0.05278592375366575,"0.038 [0.025, 0.053]",0.9433551198257081,0.9210526315789475,0.9632038363934916,"0.943 [0.921, 0.963]",0.008066102695258648,0.0005182996438883952,0.030677381701380783,"0.008 [0.001, 0.031]",0.9914297658862877,0.9675370455573895,0.9994393663695945,"0.991 [0.968, 0.999]"
Table 3,gender,Mistral,683,1366,5000,0.008784773060029338,0.0014641288433381305,0.017569546120058566,"0.009 [0.001, 0.018]",0.9842519685039369,0.9679978609625668,0.9974749064956873,"0.984 [0.968, 0.997]",0.007224517454696433,0.00036025539124144584,0.017600072414396442,"0.007 [0.000, 0.018]",0.9926063466851601,0.9819072789932746,0.9996320171561127,"0.993 [0.982, 1.000]"
Table 3,race,BioMistral,656,2624,5000,0.05030487804878048,0.03353658536585369,0.07012195121951215,"0.050 [0.034, 0.070]",0.9153846153846154,0.883419689119171,0.9438806122448979,"0.915 [0.883, 0.944]",0.0273972602739726,0.010714285714285784,0.050541516245487306,"0.027 [0.011, 0.051]",0.9703703703703703,0.9455235231694376,0.9883720930232557,"0.970 [0.946, 0.988]"
Table 3,race,Gemma,652,2608,5000,0.019938650306748462,0.009202453987730008,0.03527607361963192,"0.020 [0.009, 0.035]",0.9646739130434783,0.9383744114267693,0.9839572192513368,"0.965 [0.938, 0.984]",0.010489510489510523,0.0,0.0241379310344827,"0.010 [0.000, 0.024]",0.9891696750902527,0.9752628248502618,1.0,"0.989 [0.975, 1.000]"
Table 3,race,LLaMA 3,664,2656,5000,0.015060240963855442,0.007530120481927749,0.028614457831325324,"0.015 [0.008, 0.029]",0.9609375,0.9266036322785997,0.978723404255319,"0.961 [0.927, 0.979]",0.030716723549488067,0.015036185970544338,0.05405405405405406,"0.031 [0.015, 0.054]",0.963265306122449,0.935064935064935,0.9817534837425349,"0.963 [0.935, 0.982]"
Table 3,race,Meditron,663,2652,5000,0.07843137254901955,0.05731523378582204,0.09954751131221717,"0.078 [0.057, 0.100]",0.8923395445134576,0.8638165188470067,0.9199999999999999,"0.892 [0.864, 0.920]",0.030716723549488067,0.014084507042253613,0.05329258098223608,"0.031 [0.014, 0.053]",0.968421052631579,0.9452542245775423,0.9854545454545455,"0.968 [0.945, 0.985]"
Table 3,race,Mistral,664,2656,5000,0.010542168674698815,0.003012048192771122,0.025602409638554202,"0.011 [0.003, 0.026]",0.9804469273743016,0.9526462395543176,0.9938659658835852,"0.980 [0.953, 0.994]",0.010238907849829393,0.003289473684210509,0.026936026936026924,"0.010 [0.003, 0.027]",0.9895470383275261,0.9726027397260273,0.9966442953020134,"0.990 [0.973, 0.997]"
Table 3,insurance,BioMistral,658,2632,5000,0.054711246200607966,0.037993920972644424,0.07294832826747721,"0.055 [0.038, 0.073]",0.909090909090909,0.8798930572342457,0.935899014778325,"0.909 [0.880, 0.936]",0.03082191780821919,0.014184397163120588,0.05423918340824173,"0.031 [0.014, 0.054]",0.9661654135338346,0.9407352333746386,0.984251968503937,"0.966 [0.941, 0.984]"
Table 3,insurance,Gemma,656,2624,5000,0.015243902439024404,0.0060975609756097615,0.02896341463414631,"0.015 [0.006, 0.029]",0.9728260869565217,0.9488632730760288,0.989041095890411,"0.973 [0.949, 0.989]",0.01388888888888895,0.003424657534246589,0.029411764705882252,"0.014 [0.003, 0.029]",0.9854545454545454,0.9692307692307692,0.9964160906298004,"0.985 [0.969, 0.996]"
Table 3,insurance,LLaMA 3,664,2656,5000,0.022590361445783136,0.013554216867469882,0.034638554216867457,"0.023 [0.014, 0.035]",0.9387755102040817,0.9061224489795918,0.9631147540983607,"0.939 [0.906, 0.963]",0.04095563139931735,0.021428571428571463,0.06506849315068497,"0.041 [0.021, 0.065]",0.9484978540772533,0.9186575808092836,0.9727648467348627,"0.948 [0.919, 0.973]"
Table 3,insurance,Meditron,663,2652,5000,0.030165912518853588,0.018099547511312264,0.043740573152337925,"0.030 [0.018, 0.044]",0.9570815450643778,0.9378854382332644,0.9741935483870968,"0.957 [0.938, 0.974]",0.013651877133105894,0.0034364261168384758,0.028271057313986468,"0.014 [0.003, 0.028]",0.9858657243816253,0.9708002459827276,0.99645390070922,"0.986 [0.971, 0.996]"
Table 3,insurance,Mistral,664,2656,5000,0.02108433734939763,0.010542168674698815,0.034638554216867457,"0.021 [0.011, 0.035]",0.9625668449197861,0.9393139841688655,0.9811827956989247,"0.963 [0.939, 0.981]",0.0068259385665528916,0.0,0.0174825174825175,"0.007 [0.000, 0.017]",0.9930313588850175,0.9821428571428572,1.0,"0.993 [0.982, 1.000]"
Table 4,gender,BioMistral,87,174,5000,0.0,0.0,0.0,"0.000 [0.000, 0.000]",1.0,1.0,1.0,"1.000 [1.000, 1.000]",0.0,0.0,0.0,"0.000 [0.000, 0.000]",1.0,1.0,1.0,"1.000 [1.000, 1.000]"
Table 4,gender,Gemma,87,174,5000,0.0,0.0,0.0,"0.000 [0.000, 0.000]",1.0,1.0,1.0,"1.000 [1.000, 1.000]",0.0,0.0,0.0,"0.000 [0.000, 0.000]",1.0,1.0,1.0,"1.000 [1.000, 1.000]"
Table 4,gender,LLaMA 3,87,174,5000,0.011494252873563204,0.0,0.03448275862068967,"0.011 [0.000, 0.034]",0.9600000000000001,0.8636363636363636,1.0,"0.960 [0.864, 1.000]",0.032258064516129004,0.0,0.1071428571428572,"0.032 [0.000, 0.107]",0.9600000000000001,0.8636363636363638,1.0,"0.960 [0.864, 1.000]"
Table 4,gender,Meditron,85,170,5000,0.02352941176470591,0.0,0.05882352941176472,"0.024 [0.000, 0.059]",0.9607843137254901,0.9,1.0,"0.961 [0.900, 1.000]",0.033333333333333326,0.0,0.11111111111111116,"0.033 [0.000, 0.111]",0.9666666666666667,0.8888888888888888,1.0,"0.967 [0.889, 1.000]"
